repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks
 volcengine/verl,-,Reinforcement Learning,193,11805,"[21, 60, 112, 159, 176, 179, 193]",Python,2024/10/31,verl: Volcano Engine Reinforcement Learning for LLMs,,881221486,
supabase/supabase,new,Agent Tool,178,86533,"[187, 195, 187, 188, 191, 179, 178]",TypeScript,2019/10/12,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",,214587193,
langflow-ai/langflow,new,Agent Workflow Platform,143,95122,"[171, 169, 160, 164, 160, 151, 143]",Python,2023/2/8,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,,599320067,
 open-webui/open-webui,-,Chatbot & Knowledge Management,169,105134,"[200, 286, 249, 244, 255, 206, 169]",JavaScript,2023/10/6,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",,701547123,
apache/iceberg,-,Data Governance,132,7783,"[124, 130, 122, 132, 139, 133, 132]",Java,2018/11/19,Apache Iceberg,,158256479,
kvcache-ai/ktransformers,x,Inference Engine,34,14919,"[4, 138, 108, 102, 76, 50, 34]",Python,2024/7/26,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,,833984877,
apache/spark,-,Distributed Compute,165,41604,"[221, 210, 192, 174, 165, 162, 165]",Scala,2014/2/25,Apache Spark - A unified analytics engine for large-scale data processing,,17165658,
vllm-project/aibrix,x,Inference Deploy,38,4098,"[10, 22, 28, 37, 37, 38]",Jupyter Notebook,2024/6/10,Cost-efficient and pluggable Infrastructure components for GenAI inference,,813348592,
infiniflow/ragflow,-,Agent Workflow Platform,161,61640,"[133, 190, 260, 247, 216, 184, 161]",Python,2023/12/12,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,,730534580,
open-metadata/OpenMetadata,-,Data Governance,115,7230,"[120, 116, 118, 118, 118, 112, 115]",TypeScript,2021/8/1,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration.",,391740664,
NVIDIA/NeMo,-,Distributed Training,149,15300,"[184, 186, 191, 212, 223, 184, 149]",Python,2019/8/5,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",,200722670,
vercel/ai,-,Agent Tool,145,16320,"[92, 112, 117, 133, 123, 114, 145]",TypeScript,2023/5/23,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents",,644461337,
cline/cline,-,AI Coding,181,48658,"[109, 133, 147, 163, 184, 175, 181]",TypeScript,2024/7/6,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",,824874689,
datahub-project/datahub,-,Data Governance,102,10908,"[91, 95, 96, 101, 106, 100, 102]",Java,2015/11/18,The Metadata Platform for your Data and AI Stack,,46398090,
ai-dynamo/dynamo,-,Inference Deploy,140,4642,"[39, 88, 110, 127, 140]",Rust,2025/3/3,A Datacenter Scale Distributed Inference Serving Framework,,942206898,
kvcache-ai/Mooncake,x,Inference Deploy,36,3829,"[15, 18, 20, 26, 35, 35, 36]",C++,2024/6/25,"Mooncake is the serving platform for Kimi, a leading LLM service provided by Moonshot AI.",,819733173,
block/goose,new,AI Coding,139,18122,"[71, 93, 98, 110, 118, 126, 139]",Rust,2024/8/23,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",,846698999,
mastra-ai/mastra,new,Agent Workflow Platform,135,15510,"[26, 47, 79, 98, 115, 125, 135]",TypeScript,2024/8/6,"The TypeScript AI agent framework. _ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.",,839037098,
modelscope/ms-swift,new,Fine-tune,113,9063,"[86, 100, 120, 128, 135, 119, 113]",Python,2023/8/1,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen2.5-VL, Qwen2.5-Omni, Qwen2-Audio, Ovis2, InternVL3, Llava, GLM4v, Phi4, ...) (AAAI 2025).",,673412924,
agno-agi/agno,new,Multi-agent Framework,106,31212,"[65, 82, 95, 107, 111, 103, 106]",Python,2022/5/4,"Full-stack framework for building Multi-Agent Systems with memory, knowledge and reasoning.",,488641606,
apache/gravitino,-,Data Governance,78,1728,"[92, 84, 78, 79, 71, 71, 78]",Java,2023/4/23,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.",,631431061,
triton-lang/triton,-,AI Compiler,122,16380,"[113, 116, 114, 114, 118, 122, 122]",MLIR,2014/8/30,Development repository for the Triton language and compiler,,23496542,
delta-io/delta,-,Data Governance,69,8188,"[62, 60, 70, 73, 71, 72, 69]",Scala,2019/4/22,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",,182849188,
apache/paimon,-,Data Governance,68,2914,"[82, 82, 79, 83, 76, 65, 68]",Java,2022/1/12,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,,447060287,
comfyanonymous/ComfyUI,-,Agent Tool,115,84372,"[153, 149, 144, 162, 161, 127, 115]",Python,2023/1/17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",,589831718,
modular/modular,new,AI Compiler,98,24590,"[64, 59, 59, 75, 91, 90, 98]",Mojo,2023/4/28,The Modular Platform (includes MAX & Mojo),,634043200,
google/adk-python,-,Agent Tool,109,11477,"[73, 119, 118, 109]",Python,2025/4/1,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",,958830659,
pydantic/pydantic-ai,new,Agent Framework,97,11416,"[84, 85, 94, 113, 114, 104, 97]",Python,2024/6/21,Agent Framework / shim to use Pydantic with LLMs,,818331198,
 lobehub/lobe-chat,-,Chatbot & Knowledge Management,105,64080,"[125, 204, 186, 166, 144, 113, 105]",TypeScript,2023/5/21,"__ Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application.",,643445235,
apache/hudi,-,Data Governance,65,5895,"[85, 84, 91, 90, 84, 74, 65]",Java,2016/12/14,"Upserts, Deletes And Incremental Processing on Big Data.",,76474200,
langchain-ai/langgraph,-,Agent Framework,101,16775,"[96, 91, 79, 84, 98, 95, 101]",Python,2023/8/9,Build resilient language agents as graphs.,,676672661,
mlflow/mlflow,-,LLMOps,100,21449,"[90, 93, 94, 105, 104, 97, 100]",Python,2018/6/5,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.",,136202695,
 danny-avila/LibreChat,new,Chatbot & Knowledge Management,93,28706,"[75, 86, 92, 98, 103, 97, 93]",TypeScript,2023/2/12,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project.",,600596928,
browser-use/browser-use,-,Agent Tool,97,66952,"[64, 95, 111, 115, 113, 96, 97]",Python,2024/10/31,__ Make websites accessible for AI agents. Automate tasks online with ease.,,881458615,
livekit/agents,new,Agent Framework,91,6961,"[57, 64, 81, 98, 105, 96, 91]",Python,2023/10/19,A powerful framework for building realtime voice AI agents _______,,707441527,
langchain-ai/langchain,-,Agent Framework,95,112864,"[186, 170, 143, 137, 103, 91, 95]",Jupyter Notebook,2022/10/17,____ Build context-aware reasoning applications,,552661142,
spring-projects/spring-ai,new,Agent Framework,87,6329,"[61, 64, 69, 103, 122, 98, 87]",Java,2023/6/27,An Application Framework for AI Engineering,,659402878,
unslothai/unsloth,-,Fine-tune,92,43178,"[66, 106, 134, 134, 117, 101, 92]",Python,2023/11/29,"Fine-tuning & Reinforcement Learning for LLMs. __ Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",,725205304,
1Panel-dev/1Panel,new,LLMOps,84,30455,"[64, 65, 63, 60, 70, 85, 84]",Go,2022/7/19,"__ 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server.",,515647260,
continuedev/continue,-,AI Coding,134,28087,"[143, 166, 175, 179, 180, 146, 134]",TypeScript,2023/5/24,"_ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of rules, tools, and models",,644686905,
jax-ml/jax,-,Training Platform,87,33002,"[100, 102, 101, 101, 93, 85, 87]",Python,2018/10/25,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",,154739597,
run-llama/llama_index,-,Agent Framework,86,43500,"[135, 121, 114, 110, 105, 103, 86]",Python,2022/11/2,LlamaIndex is the leading framework for building LLM-powered agents over your data.,,560704231,
hiyouga/LLaMA-Factory,-,Fine-tune,85,55513,"[125, 128, 138, 141, 128, 96, 85]",Python,2023/5/28,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),,646410686,
All-Hands-AI/OpenHands,-,AI Coding,132,61700,"[120, 127, 118, 131, 139, 135, 132]",Python,2024/3/13,"__ OpenHands: Code Less, Make More",,771302083,
unitycatalog/unitycatalog,x,Data Governance,4,3059,"[33, 29, 23, 17, 14, 10, 4]",Python,2024/6/13,"Open, Multi-modal Catalog for Data & AI",,814708478,
apache/airflow,-,Data Integration,323,41371,"[253, 261, 283, 307, 298, 314, 323]",Python,2015/4/13,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",,33884891,
marimo-team/marimo,new,AI Coding,82,15068,"[62, 65, 73, 83, 85, 86, 82]",Python,2023/8/14,"A reactive notebook for Python �� run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. All in a modern, AI-native editor.",,678526156,
openai/codex,new,AI Coding,81,35282,"[137, 130, 96, 81]",Rust,2025/4/13,Lightweight coding agent that runs in your terminal,,965415649,
airbytehq/airbyte,-,Data Integration,166,19049,"[215, 208, 201, 189, 194, 176, 166]",Python,2020/7/27,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",,283046497,
ComposioHQ/composio,x,Agent Tool,28,25674,"[26, 27, 31, 26, 18, 22, 28]",Python,2024/2/23,Composio equips your AI agents & LLMs with 100+ high-quality integrations via function calling,,762304524,
dagster-io/dagster,-,Data Integration,149,13700,"[179, 174, 169, 170, 170, 160, 149]",Python,2018/4/30,"An orchestration platform for the development, production, and observation of data assets.",,131619646,
zaidmukaddam/scira,x,AI Search Engine,9,10503,"[8, 11, 11, 9, 11, 9, 9]",TypeScript,2024/8/7,Scira (Formerly MiniPerplx) is a minimalistic AI-powered search engine that helps you find information on the internet and cites it too. Powered by Vercel AI SDK! Search with models like xAI's Grok 3.,,839372398,
microsoft/semantic-kernel,-,Agent Framework,77,25655,"[91, 98, 105, 116, 119, 102, 77]",C#,2023/2/27,Integrate cutting-edge LLM technology quickly and easily into your apps,,607289185,
langfuse/langfuse,new,LLMOps,76,14616,"[68, 73, 77, 77, 72, 70, 76]",TypeScript,2023/5/18,"__ Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. __YC W23",,642497346,
camel-ai/camel,-,Multi-agent Framework,74,13710,"[47, 56, 70, 81, 82, 82, 74]",Python,2023/3/17,__ CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,,615510678,
wandb/wandb,-,LLMOps,74,10184,"[92, 85, 74, 76, 74, 79, 74]",Python,2017/3/24,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",,86031674,
 AstrBotDevs/AstrBot,new,Chatbot & Knowledge Management,73,11125,"[8, 50, 72, 79, 82, 73, 73]",Python,2022/12/8,_ 多平台 LLM 机器人控制台 _ 支持 QQ、QQ 频道、Telegram、微信等 | 知识库、MCP 以及 OpenAI、DeepSeek、Gemini 等模型；支持 Ollama、OneAPI、Dify,,575865240,
activepieces/activepieces,new,Agent Workflow Platform,71,16124,"[51, 47, 48, 55, 66, 66, 71]",TypeScript,2022/12/3,AI Agents & MCPs & AI Workflow Automation _ (280+ MCP servers for AI agents) _ AI Automation / AI Agent with MCPs _ AI Workflows & AI Agents _ MCPs for AI Agents,,573661753,
searxng/searxng,x,AI Search Engine,28,21459,"[30, 32, 37, 33, 37, 32, 28]",Python,2021/4/12,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.,,357241735,
openai/openai-agents-python,-,Multi-agent Framework,72,13225,"[64, 73, 70, 60, 72]",Python,2025/3/11,"A lightweight, powerful framework for multi-agent workflows",,946380199,
Zipstack/unstract,x,Data Integration,37,5726,"[32, 27, 33, 39, 38, 36, 37]",Python,2024/2/21,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents,,761150311,
 Farama-Foundation/Gymnasium,x,Reinforcement Learning,5,9979,"[9, 12, 12, 8, 9, 8, 5]",Python,2022/9/8,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related utilities (formerly Gym)",,534011733,
microsoft/OmniParser,x,Agent Tool,4,23390,"[8, 27, 23, 12, 9, 4, 4]",Jupyter Notebook,2024/9/20,A simple screen parsing tool towards pure vision based GUI agent,,860252770,
Unstructured-IO/unstructured,x,Data Integration,17,12487,"[24, 24, 18, 16, 12, 11, 17]",HTML,2022/9/26,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models. Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",,541798154,
 chatboxai/chatbox,x,Chatbot & Knowledge Management,24,36376,"[29, 50, 41, 35, 24, 23, 24]",TypeScript,2023/3/6,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",,610260322,
rapidsai/cudf,new,AI Kernel Library,70,9098,"[72, 68, 70, 71, 75, 71, 70]",C++,2017/5/7,cuDF - GPU DataFrame Library,,90506918,
bentoml/BentoML,x,Inference Deploy,9,8018,"[15, 15, 15, 13, 14, 9, 9]",Python,2019/4/2,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",,178976529,
kserve/kserve,x,Inference Deploy,24,4484,"[30, 28, 27, 30, 28, 29, 24]",Python,2019/3/27,Standardized Serverless ML Inference Platform on Kubernetes,,178075572,
deepset-ai/haystack,x,Agent Workflow Platform,24,22032,"[30, 32, 34, 36, 33, 24, 24]",Python,2019/11/14,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",,221654678,
iterative/datachain,x,Data Integration,19,2625,"[31, 27, 28, 24, 19, 19, 19]",Python,2024/6/25,"ETL, Analytics, Versioning for Unstructured Data",,820144741,
comet-ml/opik,new,LLMOps,69,12161,"[51, 55, 58, 69, 75, 76, 69]",Python,2023/5/10,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",,638951438,
NVIDIA/nccl,x,AI Kernel Library,17,3980,"[24, 20, 18, 18, 17, 15, 17]",C++,2015/11/14,Optimized primitives for collective multi-GPU communication,,46153892,
Significant-Gravitas/AutoGPT,x,Agent Workflow Platform,41,178099,"[49, 52, 47, 44, 43, 41, 41]",Python,2023/3/16,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",,614765452,
mindverse/Second-Me,x,General Assistant,9,14073,"[17, 31, 29, 15, 9]",Python,2025/3/16,"Train your AI self, amplify you, bridge the world",,949271792,
Arize-ai/phoenix,new,LLMOps,66,6543,"[53, 54, 50, 52, 60, 64, 66]",Jupyter Notebook,2022/11/9,AI Observability & Evaluation,,564072810,
dbt-labs/dbt-core,x,Data Integration,25,11294,"[39, 39, 36, 39, 35, 31, 25]",Python,2016/3/10,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,,53548867,
PrefectHQ/prefect,x,Data Integration,44,20175,"[101, 98, 92, 76, 65, 45, 44]",Python,2018/6/29,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,,139199684,
HumanSignal/label-studio,-,Data Labeling,79,24041,"[71, 68, 69, 76, 80, 82, 79]",JavaScript,2019/6/19,Label Studio is a multi-type data labeling and annotation tool with standardized output format,,192640529,
cvat-ai/cvat,-,Data Labeling,49,14179,"[56, 54, 55, 54, 52, 50, 49]",Python,2018/6/29,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",,139156354,
mlrun/mlrun,-,LLMOps,56,1564,"[56, 56, 51, 54, 55, 58, 56]",Python,2019/9/1,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications.",,205706595,
 oobabooga/text-generation-webui,x,Client Interface,22,44809,"[32, 28, 23, 25, 31, 27, 22]",Python,2022/12/21,"LLM UI with advanced features, easy setup, and multiple backend support.",,580642043,
hpcaitech/ColossalAI,x,Training Platform,8,41118,"[19, 21, 14, 15, 14, 12, 8]",Python,2021/10/28,"Making large AI models cheaper, faster and more accessible",,422274596,
 SillyTavern/SillyTavern,x,Client Interface,38,17888,"[49, 50, 47, 51, 45, 38, 38]",JavaScript,2023/2/9,LLM Frontend for Power Users.,,599524116,
AUTOMATIC1111/stable-diffusion-webui,x,Client Inferface,9,155974,"[20, 18, 17, 15, 12, 7, 9]",Python,2022/8/22,Stable Diffusion web UI,,527591471,
modelcontextprotocol/servers,-,Agent Tool,66,62815,"[51, 38, 88, 114, 107, 81, 66]",TypeScript,2024/11/19,Model Context Protocol Servers,,890668799,
vespa-engine/vespa,new,Data Labeling,46,6266,"[49, 53, 55, 56, 59, 48, 46]",Java,2016/6/3,"AI + Data, online. https://vespa.ai",,60377070,
elastic/elasticsearch,-,Vector Storage and Search,335,73644,"[364, 348, 341, 344, 348, 340, 335]",Java,2010/2/8,"Free and Open Source, Distributed, RESTful Search Engine",,507775,
dask/dask,x,Distributed Compute,8,13438,"[20, 23, 19, 19, 15, 9, 8]",Python,2015/1/4,Parallel computing with task scheduling,,28782747,
mlc-ai/mlc-llm,x,Inference Deploy,7,21188,"[20, 17, 19, 15, 10, 7, 7]",Python,2023/4/29,Universal LLM Deployment Engine with ML Compilation,,634081686,
FoundationAgents/MetaGPT,x,Multi-agent Framework,4,58114,"[17, 17, 20, 13, 11, 8, 4]",Python,2023/6/30,"__ The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",,660551251,
 siyuan-note/siyuan,new,Chatbot & Knowledge Management,65,36383,"[101, 90, 86, 86, 75, 75, 65]",TypeScript,2020/8/30,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.",,291438522,
chatchat-space/Langchain-Chatchat,x,Agent Workflow Platform,6,35964,"[19, 15, 16, 14, 10, 8, 6]",TypeScript,2023/3/31,"Langchain-Chatchat��ԭLangchain-ChatGLM������ Langchain �� ChatGLM, Qwen �� Llama ������ģ�͵� RAG �� Agent Ӧ�� | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain",,621799276,
ItzCrazyKns/Perplexica,x,AI Search Engine,10,23735,"[23, 21, 22, 22, 12, 12, 10]",TypeScript,2024/4/9,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,,784181462,
milvus-io/milvus,-,Vector Storage and Search,142,36351,"[162, 154, 154, 152, 145, 134, 142]",Go,2019/9/16,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",,208728772,
microsoft/onnxruntime,x,Inference Engine,190,17671,"[204, 197, 197, 205, 185, 170, 190]",C++,2018/11/10,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",,156939672,
pipecat-ai/pipecat,new,Agent Framework,64,7359,"[53, 59, 55, 70, 76, 64, 64]",Python,2023/12/27,Open Source framework for voice and multimodal conversational AI,,736272311,
yetone/avante.nvim,new,AI Coding,60,15439,"[57, 75, 89, 79, 81, 79, 60]",Lua,2024/8/14,Use your Neovim like using Cursor AI IDE!,,842586148,
sourcegraph/cody,x,AI Coding,57,32004,"[116, 124, 120, 104, 87, 68, 57]",TypeScript,2023/7/10,"Type less, code more: Cody is an AI code assistant that uses advanced search and codebase context to help you write and fix code.",,664592117,
elizaOS/eliza,new,Agent Framework,60,16537,"[293, 229, 163, 113, 88, 76, 60]",TypeScript,2024/7/9,Autonomous agents for everyone,,826170402,
opensearch-project/OpenSearch,-,Vector Storage and Search,118,11428,"[115, 115, 109, 123, 125, 122, 118]",Java,2021/1/29,__ Open source distributed and RESTful search engine.,,334274271,
NVIDIA/TransformerEngine,new,AI Kernel Library,58,2598,"[43, 42, 55, 58, 58, 54, 58]",Python,2022/9/20,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit floating point (FP8) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.",,539057023,
eosphoros-ai/DB-GPT,x,Agent Workflow Platform,23,17220,"[38, 33, 42, 43, 33, 23, 23]",Python,2023/4/13,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,,627480054,
promptfoo/promptfoo,new,LLMOps,47,7848,"[46, 52, 48, 51, 51, 50, 47]",TypeScript,2023/4/28,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.",,633927609,
openxla/xla,x,AI Compiler,51,3454,"[68, 68, 71, 61, 59, 59, 51]",C++,2022/8/9,"A machine learning compiler for GPUs, CPUs, and ML accelerators",,523007292,
letta-ai/letta,x,Agent Framework,17,18074,"[35, 25, 24, 25, 22, 17, 17]",Python,2023/10/11,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management.",,703411624,
songquanpeng/one-api,x,Agent Tool,5,26947,"[23, 35, 28, 20, 12, 7, 5]",JavaScript,2023/4/22,"LLM API ���� & �ַ�ϵͳ��֧�� OpenAI��Azure��Anthropic Claude��Google Gemini��DeepSeek���ֽڶ�����ChatGLM������һ�ԡ�Ѷ���ǻ�ͨ��ǧ�ʡ�360 ���ԡ���Ѷ��Ԫ������ģ�ͣ�ͳһ API ���䣬������ key ��������ηַ�������ִ���ļ����ṩ Docker ����һ�����𣬿��伴�á�LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",,631254164,
xorbitsai/inference,-,Inference Deploy,56,8328,"[53, 64, 68, 70, 76, 71, 56]",Python,2023/6/14,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.",,653496050,
dagger/dagger,new,LLMOps,45,14426,"[65, 68, 67, 69, 64, 53, 45]",Go,2019/11/20,An open-source runtime for composable workflows. Great for AI agents and CI/CD.,,222824662,
google/A2A,x,Agent Tool,29,19306,"[49, 61, 34, 29]",TypeScript,2025/3/25,An open protocol enabling communication and interoperability between opaque agentic applications.,,954873280,
1Panel-dev/MaxKB,-,Agent Workflow Platform,55,17523,"[54, 80, 81, 80, 71, 59, 55]",Python,2023/9/14,__ MaxKB is an open-source platform for building enterprise-grade agents. MaxKB ��ǿ�����õĿ�Դ��ҵ��������ƽ̨��,,691347156,
